time,tau_ref_traj,t_ld ,q_gear_meas,dq_meas,q_spring_meas,tau_sensor,rt_current,current_lpf,tau_mod
1.12556,-9.73294,0,-0.661913,0.00536893,0.0281869,-12.8103,-10.1882,0,-11.4716
1.13384,-9.72925,0,-0.661817,0.00508131,0.0281869,-12.824,-10.3294,0,-11.4702
1.14257,-9.72557,0,-0.661913,0.00508131,0.0281869,-12.8469,-10.4706,0,-11.4716
1.15091,-9.72227,0,-0.661913,0.00479369,0.0281869,-12.8881,-9.77647,0,-11.4716
1.15996,-9.71853,0,-0.661817,0.00441019,0.0281869,-12.9064,-9.96471,0,-11.4702
1.16867,-9.71479,0,-0.661817,0.00441019,0.0282828,-12.9522,-8.58823,0,-11.4702
1.17759,-9.71104,0,-0.661817,0.00441019,0.0282828,-12.9293,-10.0824,0,-11.4702
1.18552,-9.70767,0,-0.661817,0.00508131,0.0282828,-12.8973,-9.37647,0,-11.4702
1.1937,-9.70423,0,-0.661721,0.00795753,0.0281869,-12.8606,-10.2118,0,-11.4688
1.20151,-9.70085,0,-0.661625,0.00834102,0.0281869,-12.8194,-10.4,0,-11.4674
1.20951,-9.69742,0,-0.661529,0.01371,0.0281869,-12.7416,-12.1882,0,-11.466
1.2181,-9.69395,0,-0.661433,0.012176,0.028091,-12.7461,-12.5412,0,-11.4646
1.22657,-9.69002,0,-0.661433,0.0112172,0.0281869,-12.8011,-11.9059,0,-11.4646
1.23454,-9.68654,0,-0.661433,0.00882039,0.0281869,-12.824,-11.7529,0,-11.4646
1.24277,-9.683,0,-0.661337,0.00824515,0.0281869,-12.824,-11.2706,0,-11.4632
1.25182,-9.67901,0,-0.661242,0.00786165,0.0281869,-12.8286,-10.7176,0,-11.4618
1.26063,-9.67502,0,-0.661242,0.00862864,0.0281869,-12.8332,-10.6706,0,-11.4618
1.26853,-9.67147,0,-0.66105,0.00958738,0.0281869,-12.8011,-10.6118,0,-11.4589
1.27649,-9.66787,0,-0.66105,0.0107379,0.0281869,-12.7874,-10.5647,0,-11.4589
1.28475,-9.66422,0,-0.660954,0.0116007,0.0281869,-12.7782,-11.0471,0,-11.4575
1.29399,-9.66016,0,-0.660762,0.0140934,0.028091,-12.7553,-12.2706,0,-11.4547
1.30253,-9.65604,0,-0.660666,0.0107379,0.028091,-12.7736,-11.5765,0,-11.4533
1.31114,-9.65228,0,-0.66057,0.0131347,0.0281869,-12.7919,-11.0824,0,-11.4519
1.31955,-9.64819,0,-0.660475,0.0131347,0.0281869,-12.8011,-10.6588,0,-11.4505
1.32749,-9.64448,0,-0.660379,0.0122718,0.0281869,-12.8332,-10.4706,0,-11.449
1.33549,-9.64074,0,-0.660283,0.0115049,0.0281869,-12.8835,-9.97647,0,-11.4476
1.34383,-9.63693,0,-0.660187,0.0122718,0.0281869,-12.9019,-9.82353,0,-11.4462
1.35255,-9.63272,0,-0.660091,0.0229138,0.0282828,-12.8561,-9.28235,0,-11.4448
1.36049,-9.62892,0,-0.659803,0.0329806,0.0281869,-12.7232,-11.5059,0,-11.4406
1.36868,-9.62505,0,-0.659612,0.022818,0.0281869,-12.737,-10.2353,0,-11.4377
1.37768,-9.62074,0,-0.659516,0.0147646,0.0281869,-12.8011,-9.32941,0,-11.4363
1.38556,-9.61692,0,-0.65942,0.012943,0.0281869,-12.8515,-9.22353,0,-11.4349
1.39354,-9.61305,0,-0.659324,0.0155316,0.0282828,-12.8927,-8.56471,0,-11.4335
1.40251,-9.60872,0,-0.659132,0.0271323,0.0282828,-12.8561,-9.42353,0,-11.4307
1.41069,-9.6047,0,-0.658941,0.0363362,0.0281869,-12.7232,-12,0,-11.4278
1.41955,-9.6003,0,-0.658653,0.0210922,0.0281869,-12.7232,-9.51765,0,-11.4236
1.42756,-9.59634,0,-0.658461,0.0214757,0.0281869,-12.7416,-10.7176,0,-11.4208
1.43583,-9.59225,0,-0.65827,0.0240643,0.0281869,-12.7187,-9.95294,0,-11.4179
1.4445,-9.58786,0,-0.658078,0.0299126,0.028091,-12.6774,-11.4588,0,-11.4151
1.45256,-9.58384,0,-0.657886,0.0185995,0.028091,-12.7645,-8.12941,0,-11.4123
1.46151,-9.57978,0,-0.657694,0.0150522,0.0281869,-12.8332,-8.69412,0,-11.4094
1.46965,-9.5752,0,-0.657598,0.0147646,0.0282828,-12.8973,-7.81176,0,-11.408
1.47756,-9.57115,0,-0.657407,0.0207087,0.0282828,-12.9064,-8.28235,0,-11.4052
1.48553,-9.56706,0,-0.657215,0.0287621,0.0282828,-12.8515,-5.87059,0,-11.4024
